toi,tid,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
6834.01,49735922,KP,6.3392677,3.02,1739.0,12.1093,290.495,5289.0,4.46,0.93
6835.01,301235044,KP,0.2803246,0.868,507.0,10.0298,61.8736,4477.0,4.56,0.72
6838.01,278892590,KP,1.5109447,0.6401499,10693.4881603,13.8529,,5780.0,5.27596,0.114827
6849.01,434100688,FP,1825.048364,3.62,2576.0,9.9309,319.053,6290.0,3.89,2.09
6866.01,344224831,FP,8.0179256,1.018,8684.0,12.5227,361.951,5356.0,4.46,0.94
6872.01,150096001,KP,11.0248821,2.917,1943.0,12.3252,75.1703,3798.0,4.77,0.46
6874.01,4426490,FP,2.668957,2.7508738,17029.8720026,12.1616,468.406,5983.3,4.3234,1.19683
6876.01,377024332,FP,15.1771428,4.556,538.0,9.089871,140.69,6200.0,4.25,1.36
6877.01,365007485,KP,33.5920255,6.385,3352.0,11.6575,246.599,5468.0,4.5,0.91
6878.01,262135904,FP,2.0990769,2.343,501.0,10.1063,532.485,8853.0,4.18,2.0
688.01,339636032,FP,6.8787507,2.599,359.0,8.5885,176.054,6636.0,3.99,1.98
6882.01,293075732,FP,0.5666806,0.722,1530.0,12.7726,733.941,5517.0,3.99,1.65
6883.01,393818343,CP,,3.9569972,1196.0597801,8.9797,93.7345,5657.0,4.35534,1.09993
689.01,445822015,FP,1.66402,3.397,7964.45,10.7014,108.513,4841.3,4.71,0.78
6895.01,252537013,FP,7.0469712,2.551,1020.0,10.4505,203.968,5940.0,,1.2
690.01,101497191,FP,3.64376,3.38,3632.91,10.298,3500.23,5463.2,4.39,
692.01,320417762,FA,1.03604,1.855,250.0,9.0188,481.966,9622.0,3.95,2.74
6920.01,84126162,FP,3.6688102,2.151,8447.0,13.3268,684.507,5821.5,4.36,1.12
6921.01,58474992,FP,25.714253,6.373,33131.0,12.1157,232.791,5677.8,4.58,0.86
693.01,458589703,FA,,4.029,9640.0,11.2248,114.765,4654.2,4.59,0.72
694.01,55383975,FP,48.0511988,4.3070574,14503.3604877,11.2595,223.882,5354.96,4.45894,1.0417
6952.01,400466395,FP,5.1391542,0.633,6171.0,12.2479,388.991,5974.6,4.48,1.0
696.01,77156829,CP,0.8602406,0.5124345,719.5357708,10.4276,19.8782,3450.0,4.89044,0.33819
696.02,77156829,CP,3.6942604,1.1278521,832.8225921,10.4276,19.8782,3450.0,4.89044,0.33819
696.03,77156829,CP,4.9652069,0.9361524,633.0580849,10.4276,19.8782,3450.0,4.89044,0.33819
6962.01,435339558,KP,21.9903619,3.8732381,1122.3021089,11.2235,256.011,5294.0,4.14669,1.33417
6963.01,56658270,CP,8.8349261,6.2442811,6132.2553437,12.8131,159.244,3303.0,3.84689,1.1499799
6967.01,27635334,KP,4.7335575,3.2089234,930.2503519,11.6736,477.295,5496.0,3.93163,1.75896
6969.01,17129975,FP,1.5142292,1.7190416,5271.4558635,12.367,658.741,6616.0,4.2907,1.39196
6970.01,271749758,KP,11.714447,3.5131822,12763.9935022,13.9354,587.91,5165.0,4.48308,0.885629
6977.01,436575927,KP,5.0957983,1.772,714.0,11.4398,98.0152,4197.0,4.56,0.7
6979.01,26078330,KP,8.754708,3.4644403,1527.6748939,11.584,214.753,5888.0,4.57,0.889347
6982.01,113921235,CP,59.8473992,4.3696664,11392.7507656,11.3281,245.962,5765.3,4.38,1.09215
6984.01,83181153,KP,,5.1289452,3407.8486864,12.7079,99.0504,3683.0,4.72407,0.515263
6989.01,261141602,FP,1.4956727,1.965,3708.0,11.9409,239.055,4812.0,4.28,1.06
6994.01,55390413,FP,1.8819016,1.162,5107.0,13.2387,375.707,4704.0,4.36,0.95
6996.01,41875043,FP,0.9602835,1.497,3132.0,12.9691,564.394,5708.0,4.38,1.08
700.01,150428135,CP,16.051106,1.3968229,2768.5212418,10.9102,31.1265,3482.0,4.438,0.419457
700.02,150428135,CP,37.4236838,3.3650101,737.5519387,10.9102,31.1265,3482.0,4.438,0.419457
700.03,150428135,CP,9.977273,2.2583631,459.8525479,10.9102,31.1265,3482.0,4.438,0.419457
700.04,150428135,CP,27.8096898,2.9558823,406.8232517,10.9102,31.1265,3482.0,4.438,0.419457
7007.01,289441015,FP,1.5342604,3.271,1768.0,12.695,625.983,8194.0,4.28,1.7
701.01,219239945,FP,13.697384,4.783848,1061.94658,10.966,217.621,5837.0,4.37713,1.10089
7019.01,366119858,CP,48.2590904,6.299,6743.0,12.7199,434.178,5936.0,4.61,0.85
7041.01,201175570,CP,9.6994666,15.7960068,512.9617961,10.264,439.52,4696.0,4.438,4.2105899
7042.01,345724317,FP,2.817627,1.455,868.0,10.4875,237.065,6320.6,4.4,1.17
7051.01,18574158,FP,4.9131459,1.25,4488.0,10.3552,190.241,5999.0,4.38,1.12
7056.01,110178537,KP,2.993282,2.5766956,14780.3009546,12.419,655.037,6343.0,4.13783,1.58601
7057.01,325670253,KP,3.3777419,2.8147435,17290.4349881,12.8999,403.458,5080.0,4.33326,1.0408
7058.01,317520667,KP,2.4651801,3.5668145,11993.572763,10.1154,279.86,6848.0,4.25,1.51554
7059.01,104866616,KP,4.4626647,3.0802705,7983.8270519,11.1323,290.736,7587.0,4.39508,1.3951401
