kepid,kepler_name,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_fwm_stat_sig,koi_eccen,koi_srho,koi_sma,koi_max_sngle_ev,koi_model_chisq
5376067,,3.951405455,1.276,2.1862,2453.9,0.331342,31.44,110.66481,117.2,272,0.706,0,0.19337,0.0482,13.511557,
5436502,Kepler-238 e,23.65369415,0.008,8.2183,3341.8,0.05219,7.89,188.42673,266.3,57,0.032,0,0.41907,0.1658,33.295635,
5436502,Kepler-238 d,13.23352214,0.014,6.7372,504.6,0.020278,3.06,34.323593,49.1,97,0.055,0,0.3884,0.1126,6.205785,
5436502,Kepler-238 c,6.15560285,0.235,4.9843,285,0.015336,2.32,26.274458,35.1,203,0.0,0,0.40662,0.0676,4.266375,
5436502,Kepler-238 b,2.090811305,0.746,3.388,115.9,0.010686,1.62,14.88052,19.9,527,0.007,0,0.1588,0.0329,3.535499,
10875245,Kepler-107 b,3.180027898,0.196,3.5797,120.3,0.009989,1.53,34.970474,50.4,323,0.307,0,0.5756,0.0439,5.307951,
5436502,Kepler-238 f,50.4467417,0.379,7.159,370.3,0.01767,2.67,15.157462,19.4,22,0.394,0,0.97794,0.2747,5.1075315,
5456651,Kepler-239 b,11.76307164,0.048,2.9076,1037.3,0.028519,2.35,39.560696,48.9,88,0.008,0,4.37951,0.0954,9.07897,
5456651,Kepler-239 c,56.2279271,0.7,3.57,862.7,0.028683,2.37,16.481398,20.9,18,0.123,0,4.47051,0.2707,6.9918575,
5481416,,2.384052875,1.178,3.0918,1268.1,0.222925,17.06,44.634888,50.5,549,0.0,0,0.03902,0.0308,7.4411964,
5531576,Kepler-240 c,7.953547,0.3,2.6312,875.4,0.026448,2.25,31.887648,38.4,166,0.334,0,3.48717,0.0712,5.371588,
5531576,Kepler-240 b,4.14451656,0.004,2.3421,391.8,0.017441,1.48,18.548983,22.8,316,0.997,0,2.87358,0.0461,4.527273,
5534814,,4.859386384,1.259,2.2757,6044.3,0.355227,38.33,300.96277,269.7,273,0.0,0,0.4563,0.0571,30.702702,
6291653,Kepler-702 b,10.526294577,0.644,2.5211,9768,0.095143,8.24,488.70584,482.3,129,0.0,0,3.85261,0.088,58.01924,
6392727,Kepler-703 b,4.583520948,0.045,2.7055,3812.1,0.056287,5.39,212.06973,99.5,297,0.012,0,2.30111,0.0535,18.698158,
6422070,Kepler-704 b,3.76181843,0.926,3.5176,510.6,0.025656,2.66,29.971922,35.9,273,0.02,0,0.06927,0.047,4.2820764,
6428700,Kepler-242 b,8.20396958,0.823,2.9667,1024.4,0.033372,3.01,44.777393,54.4,162,0.009,0,0.65082,0.0735,7.181467,
6428700,Kepler-242 c,14.49645186,0.97,4.016,647.5,0.033377,3.01,20.855698,25.7,89,0.036,0,0.0859,0.1074,5.1306577,
5792202,Kepler-27 d,6.54626149,0.644,2.75,655.9,0.024555,2.19,24.029488,24.8,200,0.09,0,1.35056,0.0668,4.6233773,
5794379,Kepler-241 b,12.71809866,0.427,3.0957,1149.4,0.030871,2.31,42.002544,52.7,107,0.832,0,2.98907,0.0934,7.304412,
